OBJECTID,Postleitzahl,note,Einwohner:Innen,Gebietgröße in km²,Shape__Area,Shape__Length
3031,23556,23556 Lübeck,16972,20.517385,58937904.5751953,41937.8509434318
3032,23554,23554 Lübeck St. Lorenz Nord,22351,9.911358,28493536.2993164,29481.0298107757
3033,67472,67472 Esthal,1301,14.191747,33456757.7270508,26051.9711198634
3034,23568,23568 Lübeck Schlutup/St. Gertrud,16174,17.76,51058447.4492188,44272.8424661601
3035,23611,23611 Bad Schwartau,23703,23.246789,66945184.015625,56719.6291264719
3036,23689,"23689 Pansdorf, Hobbersdorf, Luschendorf, Luschendorferhof, Rohlsdorf, Rohlsdorfer Beek und Techau",5681,21.989973,63492986.3647461,44236.914528173
3037,23684,"23684 Scharbeutz, Süsel",4727,37.907088,109698504.397461,58686.63258222
3038,23669,23669 Timmendorfer Strand mit Neuhof und Oeverdiek,8753,21.783785,62899563.7329102,50366.0412054196
3039,67169,67169 Kallstadt,1162,4.113782,9746108.45947266,17311.2815782934
3040,23626,23626 Ratekau,5362,30.650227,88374090.8066406,71898.4225223054
3041,23683,23683 Scharbeutz,5899,9.060346,26225013.3046875,34733.5907960594
3042,67283,67283 Obrigheim (Pfalz),2664,10.782757,25646858.9482422,27922.3873249149
3043,30165,30165 Hannover,22608,4.964341,13323856.375,18649.6822601782
3044,90552,90552 Röthenbach an der Pegnitz,11699,21.705025,51353106.3608398,54354.7370596079
3045,91233,91233 Neunkirchen am Sand,4626,14.155633,33576322.6655273,36139.6770598815
3046,91244,91244 Reichenschwand,2220,6.85306,16244883.175293,26604.2857962728
3047,91242,91242 Ottensoos,2035,9.9929,23672370.4174805,34337.7666087749
3048,84561,84561 Mehring,2236,23.380524,52497066.4262695,37255.5322603848
3049,84547,84547 Emmerting,4049,14.036468,31544980.4223633,30530.1881409449
3050,83101,83101 Rohrdorf,5412,29.447152,65200190.2807617,59156.5590085733
3051,82049,82049 Pullach i. Isartal,8701,7.34808,16435200.2329102,26897.8558347649
3052,40470,40470 Düsseldorf,16127,3.060525,7803656.53173828,14895.0052564829
3053,45309,45309 Essen,16931,5.778805,14881303.7919922,18844.8303472543
3054,45307,45307 Essen,21041,7.27062,18711000.8125,23047.0702913481
3055,44869,44869 Bochum,24927,8.239177,21194063.8134766,34639.1902959029
3056,44867,44867 Bochum,11379,6.260964,16113981.4570313,29230.8325968676
3057,44803,44803 Bochum (Stadtteile Altenbochum und Laer),22053,8.407687,21646186.3222656,31969.8419346897
3058,44801,44801 Bochum,15577,8.744126,22488767.6313477,35727.37649221
3059,44799,44799 Bochum,15416,4.343828,11174371.0258789,33360.9140966303
3060,44797,44797 Bochum,13860,15.224902,39120974.3935547,34759.4913318957
3061,44795,44795 Bochum,25213,8.152747,20970684.8232422,29108.9918158132
3062,44789,44789 Bochum,18593,3.658941,9418817.59130859,22141.0796418701
3063,45326,45326 Essen,25965,5.352275,13786110.0825195,25843.6817290505
3064,44793,44793 Bochum,19404,9.741011,25091138.8266602,34620.3587699123
3065,45356,45356 Essen,14233,9.292593,23941836.8735352,31282.8107311346
3066,45329,45329 Essen,24700,9.613393,24791092.7700195,31962.1644297135
3067,44866,44866 Bochum,34969,9.460798,24371315.5825195,27683.3141451163
